Name of State/UT,Name of District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Kerala,Palakkad,Dog Bite,5,0,03-10-23,06-10-23
Kerala,Malappuram,Acute Diarrheal Disease,93,0,05-10-23,07-05-23
Kerala,Thiruvananthapuram,Brucellosis,2,0,04-10-23,06-10-23
Madhya Pradesh,Gwalior,Food Poisoning,166,0,04-10-23,04-10-23
Madhya Pradesh,Mandla,Measles,5,0,06-10-23,06-10-23
Madhya Pradesh,Morena,Fever,26,0,06-10-23,06-10-23
Madhya Pradesh,Rewa,Acute Diarrheal Disease,10,1,03-10-23,04-10-23
Madhya Pradesh,Vidisha,Hepatitis A,4,0,05-10-23,06-10-23
Maharashtra,Amravati,Dengue,26,1,04-10-23,05-10-23
Maharashtra,Beed,Dengue,5,1,03-10-23,06-10-23
Maharashtra,Nagpur,Dengue,89,1,05-10-23,06-10-23
Maharashtra,Raigad,Dengue,6,1,05-10-23,06-10-23
Maharashtra,Sangli,Zika Virus,1,0,29-09-23,03-10-23
Maharashtra,Thane,Dengue,3,1,30-09-23,04-10-23
Maharashtra,Thane,Dengue,7,1,27-09-23,03-10-23
Maharashtra,Washim,Acute Diarrheal Disease,75,0,30-09-23,03-10-23
Odisha,Sonepur,Acute Diarrheal Disease,22,0,05-10-23,05-10-23
Telangana,Adilabad,Acute Diarrheal Disease,82,0,07-10-23,07-10-23
Uttar Pradesh,Fatehpur,Dengue,10,0,02-10-23,04-10-23
Uttar Pradesh,Meerut,Dengue,98,0,01-10-23,05-10-23
Chhattisgarh,Bastar,Acute Diarrheal Disease,9,3,25-09-23,
Jammu and Kashmir,Anantnag,Hepatitis A,15,0,04-09-23,
Jammu and Kashmir,Rajouri,Dengue,10,0,05-09-23,
Kerala,Kollam,Acute Diarrheal Disease
Arunachal Pradesh,Lower Siang,Dengue,10,0,09-10-23,11-10-23
Arunachal Pradesh,Upper Siang,Acute Diarrheal Disease,13,0,07-10-23,13-10-23
Assam,Udalguri,Human Rabies,1,1,13-10-23,13-10-23
Bihar,Jamui,Acute Diarrheal Disease,17,0,10-10-23,12-10-23
Chhattisgarh,Bemetara,Acute Diarrheal Disease,99,0,09-10-23,10-10-23
Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,14,0,07-10-23,09-10-23
Gujarat,Sabarkantha,Acute Diarrheal Disease,43,0,10-10-23,11-10-23
Jammu and Kashmir,Bandipora,Mumps,30,0,11-10-23,11-10-23
Jammu and Kashmir,Rajauri,Dengue,15,0,14-10-23,14-10-23
Jharkhand,Deoghar,Dengue,20,0,09-10-23,13-10-23
Jharkhand,Gumla,Acute Diarrheal Disease,32,0,06-10-23,13-10-23
Jharkhand,Hazaribagh,Acute Diarrheal Disease,28,0,11-10-23,11-10-23
Jharkhand,West Singhbhum,Malaria,17,0,13-09-23,13-10-23
Karnataka,Bagalkot,Mumps,28,0,10-10-23,10-10-23
Karnataka,Raichur,Dengue,30,0,09-10-23,10-10-23
Kerala,Kozhikode,Acute Diarrheal Disease,120,0,13-10-23,14-10-23
Kerala,Malappuram,Hepatitis A,24,0,11-10-23,13-10-23
Kerala,Malappuram,Acute Diarrheal Disease,35,0,11-10-23,13-10-23
Kerala,Palakkad,West Nile Fever,1,0,12-10-23,13-10-23
Kerala,Thrissur,Hepatitis A,54,0,12-10-23,13-10-23
Kerala,Wayanad,Measles,27,0,10-10-23,10-10-23
Madhya Pradesh,Morena,Dengue,38,0,11-10-23,11-10-23
Madhya Pradesh,Neemuch,Acute Gastroenteritis,11,0,11-10-23,11-10-23
Madhya Pradesh,Ratlam,Leptospirosis,1,1,11-10-23,14-10-23
Madhya Pradesh,Sehore,Dengue,10,0,06-10-23,09-10-23
Madhya Pradesh,Shivpuri,Diphtheria,1,1,12-10-23,13-10-23
Maharashtra,Aurangabad,Dengue,4,1,13-10-23,14-10-23
Maharashtra,Buldhana,Dengue,24,0,08-10-23,12-10-23
Maharashtra,Pune,Dengue,59,1,06-10-23,09-10-23
Maharashtra,Solapur,Acute Diarrheal Disease,32,0,11-10-23,13-10-23
Maharashtra,Yavatmal,Acute Diarrheal Disease,27,0,09-10-23,10-10-23
Mizoram,Hnahthial,Scrub Typhus,191,1,13-10-23,13-10-23
Odisha,Sambalpur,Food Poisoning,57,0,11-10-23,11-10-23
Punjab,Malerkotla,Mumps,22,0,12-10-23,12-10-23
Rajasthan,Rajsamand,Scrub Typhus,6,0,12-10-23,13-10-23
Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,13,0,11-10-23,14-10-23
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,18,0,07-10-23,09-10-23
Uttar Pradesh,Gonda,Fever,24,0,10-01-23,11-10-23
Bihar,Saharsa,Dengue,396,0,01-10-23,
Jharkhand,Lohardaga,Chikungunya,23,0,29-09-23,
Karnataka,Tumakuru,Dengue,32,0,03-10-23,
Kerala,Kannur,Hepatitis A,10,0,04-10-23,
Kerala,Kozhikode,Hepatitis A,71,0,28-09-23,
Meghalaya,Ri Bhoi,Measles,9,0,05-10-23,
Arunachal Pradesh,Papum Pare,Animal Bite - Dog Bite,4,1,18-10-23,18-10-23
Assam,Udalguri,Food Poisoning,7,0,14-10-23,16-10-23
Chhattisgarh,Bemetara,Acute Diarrheal Disease,44,0,18-10-23,18-10-23
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,14,0,16-10-23,17-10-23
Chhattisgarh,Mohla Manpur Ambagarh Chouki,Acute Diarrheal Disease,38,0,18-10-23,19-10-23
Chhattisgarh,Raigarh,Acute Diarrheal Disease,27,0,13-10-23,16-10-23
Gujarat,Valsad,Food Poisoning,7,0,19-10-23,19-10-23
Haryana,Palwal,Diphtheria,8,4,19-10-23,19-10-23
Jammu and Kashmir,Baramulla,Acute Diarrheal Disease,79,0,19-10-23,19-10-23
Jammu and Kashmir,Kathua,Chikungunya,39,0,13-10-23,16-10-23
Jammu and Kashmir,Srinagar,Mumps,11,0,21-10-23,22-10-23
Jharkhand,Dumka,Dengue,9,0,17-10-23,18-10-23
Jharkhand,Koderma,Food Poisoning,54,0,21-10-23,22-10-23
Jharkhand,Pakur,Acute Diarrheal Disease,15,0,20-10-23,21-10-23
Jharkhand,Simdega,Dengue,49,0,21-10-23,21-10-23
Karnataka,Chikkamagaluru,Fever,17,0,15-10-23,17-10-23
Karnataka,Chitradurga,Chikungunya,36,0,21-10-23,22-10-23
Karnataka,Raichur,Dengue,27,0,18-10-23,19-10-23
Karnataka,Uttar Kannad,Leptospirosis,1,1,20-10-23,20-10-23
Kerala,Malappuram,Food Poisoning,25,0,17-10-23,21-10-23
Kerala,Malappuram,Chickenpox,15,0,13-10-23,16-10-23
Kerala,Palakkad,Hepatitis A,24,0,19-10-23,19-10-23
Kerala,Palakkad,Measles,10,0,18-10-23,18-10-23
Madhya Pradesh,Barwani,Acute Diarrheal Disease,5,0,19-10-23,21-10-23
Madhya Pradesh,Bhopal,Dengue,22,0,13-10-23,19-10-23
Madhya Pradesh,Mandla,Dengue,8,0,20-10-23,20-10-23
Madhya Pradesh,Morena,Dengue,18,0,18-10-23,20-10-23
Madhya Pradesh,Morena,Dengue,71,0,16-10-23,17-10-23
Madhya Pradesh,Neemuch,Dengue,29,0,18-10-23,19-10-23
Maharashtra,Aurangabad,Dengue,5,0,14-10-23,16-10-23
Maharashtra,Beed,Dengue,5,1,19-10-23,20-10-23
Maharashtra,Beed,Dengue,5,0,16-10-23,17-10-23
Maharashtra,Dhule,Dengue,12,1,17-10-23,17-10-23
Maharashtra,Dhule,Dengue,18,1,16-10-23,16-10-23
Maharashtra,Gadchiroli,Dengue,3,1,20-10-23,21-10-23
Maharashtra,Kolhapur,Chikungunya,145,0,18-10-23,19-10-23
Maharashtra,Nagpur,Dengue,9,1,18-10-23,19-10-23
Maharashtra,Nanded,Dengue,8,0,16-10-23,18-10-23
Maharashtra,Nanded,Dengue,6,0,16-10-23,17-10-23
Maharashtra,Osmanabad,Dengue & Chikungunya,11,1,17-10-23,18-10-23
Maharashtra,Parbhani,Dengue,19,1,16-10-23,16-10-23
Maharashtra,Thane,Dengue,1,1,18-10-23,21-10-23
Odisha,Kendujhar,Food Poisoning,11,0,21-09-23,18-10-23
Odisha,Koraput,Measles,6,0,19-10-23,20-10-23
Odisha,Sambalpur,Acute Diarrheal Disease,46,0,18-10-23,18-10-23
Punjab,Faridkot,Chickenpox,44,0,13-10-23,16-10-23
Tamil Nadu,Coimbatore,Acute Diarrheal Disease,68,0,15-10-23,16-10-23
Andhra Pradesh,Visakhapatnam,Food Poisoning,13,0,09-10-23,
Bihar,Gopalganj,Typhoid,10,0,04-10-23,
Bihar,Jehanabad,Measles,10,0,13-09-23,
Jharkhand,Sahebganj,Acute Diarrheal Disease,13,0,12-10-23,
Kerala,Ernakulam,Dengue,39,0,02-09-23,
Kerala,Kozhikode,Acute Diarrheal Disease,120,0,04-10-23,
Kerala,Thrissur,Measles,34,0,20-09-23,
Madhya Pradesh,Hoshangabad,Leptospirosis,8,0,26-09-23,
Madhya Pradesh,Katni,Acute Diarrheal Disease,7,0,09-10-23,
Madhya Pradesh,Rajgarh,Dengue,15,0,12-10-23,
Madhya Pradesh,Rajgarh,Dengue,5,0,12-10-23,
Madhya Pradesh,Satna,Measles,9,0,27-09-23,
Madhya Pradesh,Shahdol,Acute Diarrheal Disease,5,0,10-10-23,
Maharashtra,Nanded,Dengue,11,0,10-10-23,
Maharashtra,Nanded,Dengue,12,0,11-10-23,
Maharashtra,Nanded,Scrub Typhus,10,1,29-08-23,
Maharashtra,Thane,Dengue,10,0,11-10-23,
Odisha,Kendujhar,Food Poisoning,39,0,14-10-23,
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,38,0,21-10-23,25-10-23
Arunachal Pradesh,Papum Pare,Animal Bite - Dog Bite,3,0,23-10-23,24-10-23
Assam,Sonitpur,Acute Diarrheal Disease,6,0,26-10-23,26-10-23
Gujarat,Anand,Acute Diarrheal Disease,6,0,27-10-23,27-10-23
Gujarat,Junagadh,Food Poisoning,103,0,26-10-23,26-10-23
Gujarat,Navsari,Acute Diarrheal Disease,8,0,25-10-23,25-10-23
Gujarat,Sabar Kantha,Diphtheria,1,1,26-10-23,27-10-23
Gujarat,Tapi,Dengue,10,0,26-10-23,26-10-23
Karnataka,Mandya,Acute Diarrheal Disease,22,0,25-10-23,25-10-23
Kerala,Kannur,Acute Diarrheal Disease,21,0,25-10-23,25-10-23
Kerala,Palakkad,Acute Diarrheal Disease,25,0,27-10-23,28-10-23
Kerala,Thiruvananthapuram,Zika Virus,1,0,21-10-23,27-10-23
Kerala,Thiruvananthapuram,Acute Diarrheal Disease,11,0,26-10-23,27-10-23
Madhya Pradesh,Dewas,Acute Diarrheal Disease,20,0,28-10-23,29-10-23
Madhya Pradesh,Morena,Acute Diarrheal Disease,10,0,25-10-23,26-10-23
Madhya Pradesh,Narsinghpur,Malaria,20,0,26-10-23,26-10-23
Madhya Pradesh,Narsinghpur,Dengue,16,0,25-10-23,25-10-23
Madhya Pradesh,Neemuch,Dengue,20,0,24-10-23,24-10-23
Madhya Pradesh,Ratlam,Dengue,22,0,27-10-23,28-10-23
Maharashtra,Akola,Dengue,8,0,23-10-23,23-10-23
Maharashtra,Akola,Dengue,9,1,20-10-23,23-10-23
Maharashtra,Amravati,Dengue,5,1,21-10-23,23-10-23
Maharashtra,Aurangabad,Dengue,17,1,21-10-23,25-10-23
Maharashtra,Beed,Dengue,3,1,25-10-23,26-10-23
Maharashtra,Beed,Dengue,1,1,23-10-23,23-10-23
Maharashtra,Kolhapur,Hepatitis-A,16,0,25-10-23,25-10-23
Maharashtra,Osmanabad,Dengue,6,0,25-10-23,27-10-23
Maharashtra,Satara,Chikungunya,6,0,23-10-23,25-10-23
Maharashtra,Yavatmal,Acute Diarrheal Disease,43,0,25-10-23,26-10-23
Mizoram,Aizawl,Typhoid,64,1,23-10-23,24-10-23
Mizoram,Aizawl,Food Poisoning,34,0,23-10-23,24-10-23
Uttar Pradesh,Fatehpur,Chickenpox,30,0,26-10-23,26-10-23
Jharkhand,Deoghar,Chikungunya,11,0,29-09-23,
Jharkhand,Sahebganj,Acute Diarrheal Disease,41,0,08-10-23,
Rajasthan,Pratapgarh,Dengue,255,0,11-10-23,
Assam,Biswanath,Human Rabies,1,1,04-11-23,04-11-23
Bihar,Saran,Dengue,8,0,25-10-23,03-11-23
Bihar,Siwan,Dengue,25,0,25-10-23,03-11-23
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,10,0,26-10-23,30-10-23
Haryana,Nuh,Japanese Encephalitis,10,4,30-10-23,01-11-23
Jammu and Kashmir,Kupwara,Mumps,14,0,02-11-23,03-11-23
Jharkhand,Jamtara,Acute Diarrheal Disease,67,0,03-11-23,03-11-23
Jharkhand,Khunti,Fever with Rash,15,0,26-10-23,30-10-23
Jharkhand,West Singhbhum,Malaria,7,0,01-11-23,01-11-23
Karnataka,Bengaluru Rural,Human Rabies,1,1,30-10-23,31-10-23
Karnataka,Mandya,Human Rabies,1,1,02-11-23,02-11-23
Karnataka,Raichur,Dengue,20,0,30-10-23,31-10-23
Karnataka,Vijayapura,Human Rabies,1,1,03-11-23,04-11-23
Kerala,Ernakulam,Shigellosis,11,0,01-11-23,05-11-23
Kerala,Ernakulam,Acute Diarrheal Disease,34,0,28-10-23,30-10-23
Kerala,Kannur,Zika Virus,5,0,31-10-23,05-11-23
Kerala,Kottayam,Acute Diarrheal Disease,18,0,31-10-23,01-11-23
Kerala,Malappuram,Hepatitis A,4,0,01-11-23,01-11-23
Kerala,Palakkad,Mumps,11,0,04-10-23,04-11-23
Kerala,Palakkad,Mumps,74,0,27-10-23,02-11-23
Kerala,Pathanamthitta,Dengue,12,0,31-10-23,01-11-23
Madhya Pradesh,Indore,Fever of unknown origin,25,0,31-10-23,31-10-23
Madhya Pradesh,Khargone,Measles,5,0,02-11-23,02-11-23
Madhya Pradesh,Rajgarh,Dengue,9,0,02-11-23,02-11-23
Maharashtra,Ahmednagar,Dengue,26,1,27-10-23,30-10-23
Maharashtra,Kolhapur,Zika Virus,5,0,02-11-23,02-11-23
Maharashtra,Nandurbar,Dengue,11,0,01-11-23,05-11-23
Maharashtra,Thane,Dengue,3,1,30-10-23,02-11-23
Manipur,Bishnupur,Acute Diarrheal Disease,23,0,02-11-23,02-11-23
Meghalaya,West Jaintia Hills,Dengue,42,0,27-10-23,02-11-23
Mizoram,Serchhip,Food Poisoning,36,0,31-10-23,01-11-23
Odisha,Cuttack,Acute Diarrheal Disease,14,0,05-11-23,05-11-23
Tamil Nadu,Sivaganga,Mumps,15,0,02-11-23,03-11-23
Uttar Pradesh,Jhansi,Food Poisoning,649,0,29-10-23,30-10-23
West Bengal,Birbhum,Acute Diarrheal Disease,43,0,31-10-23,02-11-23
Madhya Pradesh,Bhopal,Fever of Unknown Origin,26,0,20-10-23,
Madhya Pradesh,Jabalpur,Food Poisoning,46,0,25-07-23,
Maharashtra,Nandurbar,Dengue,16,0,23-10-23,
Rajasthan,Udaipur,Acute Diarrheal Disease,95,0,25-06-23,
Rajasthan,Udaipur,Acute Diarrheal Disease,20,0,20-08-23,
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,36,0,04-11-23,07-11-23
Assam,Chirang,Measles,6,0,08-11-23,10-11-23
Assam,Dibrugarh,Acute Diarrheal Disease,36,0,07-11-23,07-11-23
Assam,Jorhat,Acute Diarrheal Disease,14,0,08-11-23,09-11-23
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,13,0,08-11-23,10-11-23
Gujarat,Gandhinagar,Acute Diarrheal Disease,29,0,08-11-23,08-11-23
Gujarat,Mahisagar,Acute Diarrheal Disease,6,0,08-11-23,08-11-23
Gujarat,Sabarkantha,Hepatitis A,26,0,06-11-23,06-11-23
Haryana,Panchkula,Acute Diarrheal Disease,151,1,04-11-23,06-11-23
Jharkhand,Dumka,Dengue,9,0,05-11-23,06-11-23
Jharkhand,Jamtara,Chikenpox,10,0,04-11-23,06-11-23
Jharkhand,Khunti,Measles,7,0,10-11-23,10-11-23
Jharkhand,Saraikela Kharsawan,Acute Diarrheal Disease,16,0,08-11-23,09-11-23
Karnataka,Bengaluru Rural,Acute Diarrheal Disease,28,0,08-11-23,09-11-23
Karnataka,Hassan,Acute Diarrheal Disease,21,0,07-11-23,08-11-23
Karnataka,Ramanagara,Acute Diarrheal Disease,15,0,10-11-23,11-11-23
Kerala,Ernakulam,Hepatitis A,10,0,08-11-23,08-11-23
Kerala,Palakkad,Acute Diarrheal Disease,13,0,08-11-23,08-11-23
Kerala,Pathanamthitta,Food Poisoning,18,0,09-11-23,10-11-23
Kerala,Thiruvananthapuram,Hepatitis A,9,0,06-11-23,07-11-23
Madhya Pradesh,Bhopal,Scrub Typhus,11,0,09-11-23,09-11-23
Madhya Pradesh,Satna,Acute Diarrheal Disease,27,0,08-11-23,08-11-23
Madhya Pradesh,Shajapur,Measles,14,0,07-11-23,08-11-23
Maharashtra,Ahmednagar,Acute Diarrheal Disease,179,0,05-11-23,08-11-23
Maharashtra,Beed,Dengue,5,1,04-11-23,09-11-23
Maharashtra,Nagpur,Scrub Typhus,3,1,08-11-23,09-11-23
Maharashtra,Nanded,Dengue,10,0,22-09-23,10-11-23
Maharashtra,Osmanabad,Dengue,31,1,09-11-23,09-11-23
Maharashtra,Sangli,Dengue,6,0,03-11-23,06-11-23
Maharashtra,Satara,Dengue,16,0,08-11-23,08-11-23
Manipur,Imphal West,Measles,9,0,04-11-23,07-11-23
Meghalaya,South West Khasi Hills,Hepatitis A,15,0,01-11-23,08-11-23
Odisha,Bargarh,Food Poisoning,30,0,06-11-23,07-11-23
Odisha,Bargarh,Acute Diarrheal Disease,8,0,10-11-23,11-11-23
Odisha,Dhenkanal,Acute Diarrheal Disease,7,0,05-11-23,07-11-23
Odisha,Mayurbhanj,Acute Diarrheal Disease,13,0,10-11-23,09-11-23
West Bengal,Birbhum,Acute Diarrheal Disease,65,1,06-11-23,06-11-23
Assam,Nalbari,Acute Diarrheal Disease,8,0,30-09-23,
Bihar,Jehanabad,Dengue,39,0,30-10-23,
Madhya Pradesh,Indore,Dengue,96,0,29-10-23,
Madhya Pradesh,Shivpuri,Dengue,38,0,31-10-23,
Maharashtra,Beed,Dengue,5,1,30-10-23,
Maharashtra,Nanded,Dengue,6,1,27-09-23,
Maharashtra,Nanded,Dengue,12,0,20-09-23,
Manipur,Jiribam,Malaria,6,0,03-10-23,
Chhattisgarh,Raigarh,Acute Diarrheal Disease,127,0,19-11-23,19-11-23
Chhattisgarh,Raigarh,Acute Diarrheal Disease,18,0,11-11-23,14-11-23
Jammu and Kashmir,Baramulla,Chickenpox,8,0,14-11-23,15-11-23
Jammu and Kashmir,Srinagar,Hepatitis A,11,0,18-11-23,18-11-23
Jammu and Kashmir,Udhampur,Chikungunya,5,0,10-11-23,15-11-23
Jharkhand,Saraikela Kharsawan,Chickenpox,7,0,16-11-23,16-11-23
Kerala,Kasaragod,Hepatitis A,81,0,10-11-23,14-11-23
Kerala,Kollam,Acute Diarrheal Disease,14,0,13-11-23,13-11-23
Kerala,Kozhikode,Hepatitis A,14,1,17-11-23,18-11-23
Kerala,Kozhikode,Hepatitis A,21,1,13-11-23,13-11-23
Kerala,Thiruvananthapuram,Zika Virus,1,0,13-11-23,14-11-23
Madhya Pradesh,Chhatarpur,Chickenpox,6,0,11-11-23,14-11-23
Mizoram,Lunglei,Food Poisoning,11,0,18-11-23,18-11-23
Odisha,Cuttack,Acute Diarrheal Disease,24,0,14-11-23,15-11-23
Odisha,Deogarh,Acute Diarrheal Disease,38,0,13-11-23,13-11-23
Tamil Nadu,Virudhunagar,Leptospirosis,13,0,14-11-23,15-11-23
Uttar Pradesh,Chandauli,Chickenpox,14,0,05-11-23,14-11-23
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,40,0,14-11-23,16-11-23
Arunachal Pradesh,Papumpare,Scrub Typhus,34,0,15-10-23,
Assam,Darrang,Measles,6,0,06-11-23,
Jharkhand,West Singhbhum,Malaria,64,0,16-10-23,
Meghalaya,West Khasi Hills,Scrub Typhus,17,0,06-11-23,
Assam,Barpeta,Human Rabies,1,1,23-11-23,24-11-23
Assam,Charaldeo,Fever,32,0,20-11-23,20-11-23
Assam,Dhubri,Acute Diarrheal Disease,128,0,23-11-23,24-11-23
Assam,Karbi Anglong,Chikungunya,67,0,24-11-23,24-11-23
Assam,Tamulpur,Tetanus,1,1,25-11-23,25-11-23
Chhattisgarh,Balod,Acute Diarrheal Disease,31,0,22-11-23,24-11-23
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,14,0,22-11-23,22-11-23
Chhattisgarh,Rajnandgaon,Mumps,5,0,21-11-23,21-11-23
Gujarat,Junagadh,Acute Diarrheal Disease,19,0,21-11-23,21-11-23
Gujarat,Vadodara,Hepatitis-A,218,0,25-11-23,26-11-23
Jammu and Kashmir,Rajauri,Dengue,59,0,20-11-23,20-11-23
Jharkhand,Latchar,Acute Diarrheal Disease,25,0,18-11-23,21-11-23
Jharkhand,West Singhbhum,Dysentery,55,0,21-10-23,21-11-23
Karnataka,Bengaluru Urban,Malaria,1,1,21-11-23,22-11-23
Karnataka,Chikkamagaluru,Acute Diarrheal Disease,18,0,20-11-23,20-11-23
Karnataka,Ramanagara,Acute Diarrheal Disease,161,0,19-11-23,20-11-23
Karnataka,Tumakuru,Measles,7,0,21-11-23,21-11-23
Karnataka,Udupi,Mumps,11,0,22-11-23,23-11-23
Kerala,Alappuzha,Food Poisoning,39,0,21-11-23,21-11-23
Kerala,Idukki,Mumps,10,0,20-11-23,23-11-23
Kerala,Kozhikode,Acute Diarrheal Disease,67,0,23-11-23,24-11-23
Kerala,Kozhikode,Acute Diarrheal Disease,21,0,22-11-23,22-11-23
Kerala,Malappuram,Acute Diarrheal Disease,10,0,23-11-23,26-11-23
Kerala,Pathanamthitta,Acute Diarrheal Disease,42,0,25-11-23,25-11-23
Kerala,Thiruvananthapuram,Chickenpox,5,0,22-11-23,25-11-23
Madhya Pradesh,Ratlam,Acute Diarrheal Disease,73,0,23-11-23,24-11-23
Madhya Pradesh,Sehore,Leptospirosis,8,0,24-11-23,24-11-23
Maharashtra,Raigad,Malaria,3,1,24-11-23,25-11-23
Maharashtra,Washim,Dengue and Chikungunya,16,0,21-11-23,21-11-23
Maharashtra,Washim,Dengue and Chikungunya,20,0,21-11-23,21-11-23
Odisha,Balangir,Food Poisoning,30,0,24-11-23,24-11-23
Odisha,Kendrapara,Food Poisoning,11,0,18-11-23,20-11-23
Odisha,Malkangiri,Scrub Typhus,8,0,21-11-23,21-11-23
Telangana,Hyderabad,Acute Diarrheal Disease,13,0,21-11-23,21-11-23
Uttar Pradesh,Banda,Measles,7,0,19-11-23,24-11-23
Uttar Pradesh,Lalitpur,Measles,10,0,17-11-23,21-11-23
Bihar,Gaya,Chikungunya,10,0,10-11-23,
Jammu and Kashmir,Doda,Dengue,362,0,16-11-23,
Jammu and Kashmir,Udhampur,Chikungunya,45,0,10-11-23,
Kerala,Ernakulam,Dengue,33,0,16-11-23,
Kerala,Thiruvananthapuram,Zika Virus,1,0,14-11-23,
Madhya Pradesh,Agar Malwa,Dengue,10,0,08-11-23,
Madhya Pradesh,Anuppur,Scrub Typhus,1,1,10-11-23,
Madhya Pradesh,Bhopal,Measles,5,0,14-11-23,
Maharashtra,Nashik,Dengue,13,1,16-10-23,
Tamil Nadu,Ariyalur,Fever,9,0,14-11-23,
Tamil Nadu,Virudhunagar,Dengue & Leptospirosis,11,0,14-11-23,
Tamil Nadu,Virudhunagar,Leptospirosis,5,0,16-11-23,
Uttar Pradesh,Lalitpur,Measles,5,0,01-11-23,
Uttar Pradesh,Mirzapur,Scrub Typhus,16,0,15-11-23,
Andhra Pradesh,Kurnool,Acute Diarrheal Disease,97,0,27-11-23,28-11-23
Assam,Nagaon,Measles,34,0,24-11-23,28-11-23
Jharkhand,Deoghar,Malaria,27,1,30-11-23,01-12-23
Jharkhand,Dumka,Chickenpox,12,0,29-11-23,30-11-23
Karnataka,Bagalkot,Acute Diarrheal Disease,28,0,28-11-23,28-11-23
Karnataka,Chikkaballapura,Animal Bite - Dog Bite,10,0,04-12-23,02-12-23
Karnataka,Chikkaballapura,Dengue,11,0,27-11-23,27-11-23
Karnataka,Davanagere,Acute Diarrheal Disease,24,0,27-11-23,28-11-23
Karnataka,Raichur,Acute Diarrheal Disease,92,0,29-11-23,01-12-23
Kerala,Kannur,Shigellosis,15,0,30-11-23,01-12-23
Kerala,Kottayam,Chickenpox,32,0,28-11-23,30-11-23
Kerala,Malappuram,Acute Diarrheal Disease,26,0,01-12-23,01-12-23
Kerala,Palakkad,Acute Diarrheal Disease,75,0,01-12-23,01-12-23
Madhya Pradesh,Mandla,Dengue,5,0,29-11-23,29-11-23
Madhya Pradesh,Schore,Dengue,6,0,28-11-23,28-11-23
Odisha,Bolangir,Acute Diarrheal Disease,80,0,29-11-23,29-11-23
Puducherry,Karaikal,Acute Diarrheal Disease,54,0,23-11-23,29-11-23
Punjab,Sangrur,Acute Diarrheal Disease,66,0,02-12-23,02-12-23
Tamil Nadu,Thanjavur,Mumps,10,0,25-11-23,27-11-23
West Bengal,Nadia,Acute Diarrheal Disease,50,0,26-11-23,28-11-23
Assam,Darrang,Measles,9,0,09-11-23,
Bihar,Jehanabad,Measles,8,0,25-10-23,
Jharkhand,Godda,Malaria,4850,0,18-11-23,
Maharashtra,Gadchiroli,Malaria,4,1,11-11-23,
Puducherry,Karaikal,Dengue,43,0,16-11-23,
Uttar Pradesh,Fatehpur,Measles,5,0,20-11-23,
Assam,Bongaigaon,Measles,7,0,07-12-23,07-12-23
Assam,Charaldeo,Leptospirosis,17,0,04-12-23,05-12-23
Assam,Chirang,Malaria,58,0,01-12-23,04-12-23
Assam,Kamrup Metro,Human Rabies,1,1,06-12-23,07-12-23
Assam,South Salmara Mancachar,Measles,13,0,09-12-23,09-12-23
Bihar,Begusarai,Measles,5,0,07-12-23,08-12-23
Bihar,Gaya,Measles,7,0,04-12-23,07-12-23
Bihar,Madhubani,Acute Diarrheal Disease,86,0,06-12-23,06-12-23
Bihar,Supaul,Food Poisoning,6,0,06-12-23,06-12-23
Chhattisgarh,Raigarh,Acute Diarrheal Disease,18,0,04-12-23,06-12-23
Himachal Pradesh,Hamirpur,Acute Diarrheal Disease,40,0,10-12-23,10-12-23
Jammu and Kashmir,Srinagar,Hepatitis A,8,0,08-12-23,08-12-23
Karnataka,Ramanagara,Cholera,4,0,08-12-23,09-12-23
Kerala,Alappuzha,Mumps,31,0,06-12-23,08-12-23
Kerala,Kottayam,Food Poisoning,11,0,08-12-23,08-12-23
Madhya Pradesh,Barwani,Malaria,13,0,04-12-23,05-12-23
Madhya Pradesh,Barwani,Food Poisoning,25,0,04-12-23,05-12-23
Madhya Pradesh,Datta,Jaundice,10,0,09-12-23,10-12-23
Madhya Pradesh,Rajgarh,Food Poisoning,22,0,10-12-23,10-12-23
Madhya Pradesh,Umaria,Scrub Typhus,12,0,05-12-23,05-12-23
Maharashtra,Gadchiroli,Malaria,10,1,02-12-23,05-12-23
Maharashtra,Nanded,Mumps,7,0,06-12-23,06-12-23
Maharashtra,Pune,Dengue,7,0,07-11-23,04-12-23
Maharashtra,Thane,Dengue,8,1,30-11-23,08-12-23
Mizoram,Kolasib,Fever with Rash,5,0,01-12-23,04-12-23
Odisha,Balangir,Acute Diarrheal Disease,35,0,06-12-23,06-12-23
Odisha,Khordha,Acute Diarrheal Disease,35,0,06-12-23,06-12-23
Rajasthan,Jhalawar,Acute Diarrheal Disease,225,0,29-11-23,04-12-23
Tamil Nadu,Tenkasi,Dengue,7,0,03-12-23,06-12-23
