State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Maharashtra,Akola,Acute Diarrheal Disease,93,0,12-07-2024,12-07-2024
Maharashtra,Chandrapur,Acute Diarrheal Disease,12,1,12-07-2024,12-07-2024
Maharashtra,Gadchiroli,Malaria,3,1,10-07-2024,10-07-2024
Maharashtra,Hingoli,Acute Diarrheal Disease,7,0,08-07-2024,08-07-2024
Maharashtra,Latur,Dengue,7,1,08-07-2024,08-07-2024
Maharashtra,Latur,Hepatitis A,9,0,08-07-2024,08-07-2024
Maharashtra,Pune,Zika Virus,2,0,10-07-2024,12-07-2024
Maharashtra,Pune,Zika Virus,3,0,06-07-2024,09-07-2024
Maharashtra,Raigad,Dengue,1,1,11-07-2024,12-07-2024
Maharashtra,Sangli,Dengue,2,1,11-07-2024,12-07-2024
Maharashtra,Thane,Dengue,2,1,09-07-2024,09-07-2024
Maharashtra,Washim,Dengue,6,0,12-07-2024,12-07-2024
Maharashtra,Yavatmal,Acute Diarrheal Disease,43,0,13-07-2024,13-07-2024
Maharashtra,Yavatmal,Cholera,7,0,12-07-2024,12-07-2024
Maharashtra,Yavatmal,Cholera,30,0,08-07-2024,09-07-2024
Manipur,Kamjong,Typhoid,12,0,12-07-2024,13-07-2024
Meghalaya,Ri Bhoi,Typhoid,13,0,11-07-2024,11-07-2024
Odisha,Balangir,Dengue,66,0,09-07-2024,09-07-2024
Odisha,Ganjam,Acute Diarrheal Disease,15,0,09-07-2024,10-07-2024
Odisha,Jajpur,Hepatitis A,8,0,14-07-2024,14-07-2024
Odisha,Khordha,Measles,22,0,09-07-2024,09-07-2024
Odisha,Malkangiri,Acute Diarrheal Disease,32,0,11-07-2024,11-07-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,40,0,10-07-2024,10-07-2024
Odisha,Rayagada,Acute Diarrheal Disease,5,0,08-07-2024,11-07-2024
Odisha,Rayagada,Malaria,31,0,07-07-2024,08-07-2024
Odisha,Sundargarh,Food Poisoning,9,0,06-07-2024,09-07-2024
Punjab,Jalandhar,Acute Diarrheal Disease,23,0,12-07-2024,12-07-2024
Punjab,Shahid Bhagat Singh Nagar,Cholera,65,0,10-07-2024,10-07-2024
Tamil Nadu,Madurai,Hepatitis A,6,0,11-07-2024,15-07-2024
Tamil Nadu,Pudukkottai,Hepatitis A,16,0,09-07-2024,10-07-2024
Tamil Nadu,Thanjavur,Acute Diarrheal Disease,17,0,13-07-2024,15-07-2024
Tamil Nadu,Tiruchirappalli,Hepatitis A,18,0,11-07-2024,11-07-2024
Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,9,0,09-07-2024,09-07-2024
Uttar Pradesh,Bhadohi,Food Poisoning,24,0,08-07-2024,09-07-2024
Uttar Pradesh,Ghaziabad,Measles,4,0,05-07-2024,09-07-2024
Uttar Pradesh,Kushi Nagar,Measles,6,0,15-06-2024,09-07-2024
Uttar Pradesh,Kushi Nagar,Measles,17,0,04-06-2024,09-07-2024
Andhra Pradesh,Palnadu,Acute Diarrheal Disease,64,0,12-07-2024,20-07-2024
Andhra Pradesh,Tirupati,Food Poisoning,135,0,15-07-2024,18-07-2024
Andhra Pradesh,Tirupati,Food Poisoning,18,2,15-07-2024,18-07-2024
Arunachal Pradesh,Leparada,Acute Diarrheal Disease,16,0,18-07-2024,19-07-2024
Arunachal Pradesh,Lohit,Shigellosis,29,0,18-07-2024,18-07-2024
Assam,Chirang,Japanese Encephalitis,3,0,19-07-2024,21-07-2024
Assam,Goalpara,Human Rabies,1,1,18-07-2024,18-07-2024
Assam,Goalpara,Acute Diarrheal Disease,35,0,17-07-2024,17-07-2024
Assam,Karbi Anglong,Japanese Encephalitis,2,2,19-07-2024,21-07-2024
Assam,Sonitpur,Fever,30,0,18-07-2024,19-07-2024
Bihar,Patna,Cholera,25,0,20-06-2024,20-07-2024
Chhattisgarh,Bijapur,Malaria,4,2,15-07-2024,15-07-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,118,0,12-07-2024,15-07-2024
Chhattisgarh,Durg,Cholera,225,0,20-07-2024,21-07-2024
Chhattisgarh,Durg,Cholera,96,0,18-07-2024,18-07-2024
Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,237,2,16-07-2024,16-07-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,113,0,12-07-2024,15-07-2024
Gujarat,Narmada,Measles,8,0,18-07-2024,19-07-2024
Gujarat,Vadodara,Cholera,40,0,16-07-2024,16-07-2024
Haryana,Fatehabad,Cholera,140,0,13-07-2024,17-07-2024
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,142,0,20-07-2024,20-07-2024
Jammu and Kashmir,Ganderbal,Hepatitis A,9,0,16-07-2024,18-07-2024
Jammu and Kashmir,Kupwara,Measles,6,0,17-07-2024,17-07-2024
Jammu and Kashmir,Poonch,Food Poisoning,13,0,17-07-2024,18-07-2024
Jharkhand,Ranchi,Dengue,10,0,13-07-2024,15-07-2024
Karnataka,Mandya,Fever,21,0,19-07-2024,19-07-2024
Karnataka,Raichur,Acute Diarrheal Disease,50,0,20-07-2024,21-07-2024
Karnataka,Udupi,Hepatitis A,24,0,18-07-2024,19-07-2024
Karnataka,Yadgir,Cholera,71,0,20-07-2024,20-07-2024
Kerala,Alappuzha,Food Poisoning,34,0,19-07-2024,20-07-2024
Kerala,Kottayam,Hepatitis A,31,0,18-07-2024,18-07-2024
Kerala,Kottayam,Hepatitis A,18,0,18-07-2024,18-07-2024
Kerala,Kottayam,Mumps,23,0,17-07-2024,17-07-2024
Kerala,Kozhikode,Jaundice,55,0,18-07-2024,19-07-2024
Kerala,Pathanamthitta,Leptospirosis,8,0,19-07-2024,19-07-2024
Kerala,Wayanad,Mumps,18,0,08-07-2024,19-07-2024
Madhya Pradesh,Ashoknagar,Cholera,18,0,20-07-2024,20-07-2024
Madhya Pradesh,Ashoknagar,Acute Diarrheal Disease,19,0,19-07-2024,19-07-2024
Madhya Pradesh,Gwalior,Food Poisoning,42,0,18-07-2024,18-07-2024
Madhya Pradesh,Hoshangabad,Acute Diarrheal Disease,31,0,13-07-2024,16-07-2024
Madhya Pradesh,Jabalpur,Acute Diarrheal Disease,27,1,08-07-2024,15-07-2024
Madhya Pradesh,Katni,Acute Diarrheal Disease,20,0,14-07-2024,15-07-2024
Madhya Pradesh,Mandla,Cholera,35,0,20-07-2024,20-07-2024
Madhya Pradesh,Raisen,Cholera,21,1,19-07-2024,19-07-2024
Madhya Pradesh,Rewa,Cholera,40,0,21-07-2024,21-07-2024
Madhya Pradesh,Rewa,Dengue,21,0,19-07-2024,20-07-2024
Madhya Pradesh,Rewa,Scrub Typhus,15,0,15-07-2024,15-07-2024
Madhya Pradesh,Satna,Cholera,51,2,21-07-2024,21-07-2024
Madhya Pradesh,Seoni,Acute Diarrheal Disease,29,0,17-07-2024,18-07-2024
Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,17,0,21-07-2024,21-07-2024
Maharashtra,Ahmednagar,Zika Virus,3,0,17-07-2024,18-07-2024
Maharashtra,Akola,Acute Diarrheal Disease,23,0,19-07-2024,19-07-2024
Maharashtra,Amravati,Acute Diarrheal Disease,89,1,16-07-2024,16-07-2024
Maharashtra,Amravati,Acute Diarrheal Disease,70,0,15-07-2024,15-07-2024
Maharashtra,Chandrapur,Malaria,30,1,18-07-2024,19-07-2024
Maharashtra,Dhule,Acute Diarrheal Disease,22,0,19-07-2024,20-07-2024
Maharashtra,Kolhapur,Dysentery,98,0,20-07-2024,20-07-2024
Maharashtra,Parbhani,Acute Diarrheal Disease,79,0,11-07-2024,15-07-2024
Maharashtra,Pune,Zika Virus,11,0,08-07-2024,16-07-2024
Maharashtra,Pune,Zika Virus,1,0,13-07-2024,15-07-2024
Maharashtra,Satara,Dengue,17,0,16-07-2024,19-07-2024
Mizoram,Aizawl,Food Poisoning,38,0,27-07-2024,20-07-2024
Odisha,Balangir,Acute Diarrheal Disease,61,0,17-06-2024,17-07-2024
Odisha,Balangir,Acute Diarrheal Disease,15,0,17-07-2024,18-07-2024
Odisha,Bargarh,Acute Diarrheal Disease,17,0,15-07-2024,15-07-2024
Odisha,Bhadrak,Food Poisoning,33,0,08-07-2024,15-07-2024
Odisha,Ganjam,Acute Diarrheal Disease,36,0,16-07-2024,19-07-2024
Odisha,Mayurbhanj,Food Poisoning,23,0,17-07-2024,17-07-2024
Odisha,Rayagada,Measles,28,0,18-07-2024,20-07-2024
Odisha,Sundargarh,Acute Diarrheal Disease,19,0,19-07-2024,19-07-2024
Punjab,Moga,Acute Diarrheal Disease,34,0,15-07-2024,18-07-2024
Punjab,Patiala,Acute Diarrheal Disease,34,0,15-07-2024,17-07-2024
Punjab,Patiala,Acute Diarrheal Disease,68,0,13-07-2024,15-07-2024
Rajasthan,Sikar,Hepatitis A,12,0,12-07-2024,15-07-2024
Tamil Nadu,Cuddalore,Acute Diarrheal Disease,151,0,13-07-2024,15-07-2024
Tamil Nadu,Sivaganga,Jaundice,12,0,15-07-2024,16-07-2024
Tamil Nadu,Tiruchirappalli,Dengue,15,0,16-07-2024,17-07-2024
Tripura,North Tripura,Acute Diarrheal Disease,74,0,15-07-2024,15-07-2024
Uttar Pradesh,Farrukhabad,Food Poisoning,34,0,20-07-2024,21-07-2024
Uttar Pradesh,Lucknow,Cholera,25,0,16-07-2024,18-07-2024
Uttar Pradesh,Shravasti,Food Poisoning,11,3,13-07-2024,20-07-2024
Uttarakhand,Nainital,Mumps,11,0,16-07-2024,17-07-2024
Uttarakhand,Pauri Garhwal,Mushroom Poisoning,9,0,20-07-2024,20-07-2024
West Bengal,Birbhum,Acute Diarrheal Disease,34,0,15-07-2024,16-07-2024
Gujarat,Banaskantha,Acute Encephalitic Syndrome,84,41,09-07-2024,
AS/NGO/2024/02/27,Assam,Hojai,Human Rabies,1,1,12-01-2024,13-01-2024,Under Control
AS/SNT/2024/02/28,Assam,Sonitpur,Mumps,4,0,11-01-2024,12-01-2024,Under Control
BH/PAC/2024/02/29,Bihar,Pashchim Champaran,Measles,17,0,06-01-2024,11-01-2024,Under Surveillance
BH/PAC/2024/02/30,Bihar,Pashchim Champaran,Measles,32,0,05-01-2024,10-01-2024,Under Surveillance
CT/RGR/2024/02/31,Chhattisgarh,Raigarh,Acute Diarrheal Disease,9,0,05-01-2024,08-01-2024,Under Control
GJ/SRD/2024/02/32,Gujarat,Surendranagar,Chikungunya,52,0,11-01-2024,11-01-2024,Under Surveillance
JH/ESI/2024/02/33,Jharkhand,East Singhbum,Chickenpox,10,0,12-01-2024,12-01-2024,Under Surveillance
KN/BEG/2024/02/34,Karnataka,Belagavi,Food Poisoning,92,0,11-01-2024,12-01-2024,Under Surveillance
KN/CMN/2024/02/35,Karnataka,Chamarajanagar,Acute Diarrheal Disease,19,0,05-01-2024,08-01-2024,Under Surveillance
KN/VIJ/2024/02/36,Karnataka,Vijayanagar,Acute Diarrheal Disease,34,0,09-01-2024,09-01-2024,Under Surveillance
KL/ALP/2024/02/37,Kerala,Alappuzha,Mumps,18,0,12-01-2024,12-01-2024,Under Surveillance
KL/CNR/2024/02/38,Kerala,Kannur,Food Poisoning,83,0,09-01-2024,10-01-2024,Under Surveillance
KL/KAS/2024/02/39,Kerala,Kasaragod,Acute Diarrheal Disease,43,0,08-01-2024,10-01-2024,Under Control
KL/PLK/2024/02/40,Kerala,Palakkad,Hepatitis A,9,0,11-01-2024,12-01-2024,Under Surveillance
KL/PLK/2024/02/41,Kerala,Palakkad,Food Poisoning,41,0,12-01-2024,12-01-2024,Under Surveillance
KL/THI/2024/02/42,Kerala,Thiruvananthapuram,Food Poisoning,16,0,08-01-2024,09-01-2024,Under Control
MP/DHR/2024/02/43,Madhya Pradesh,Dhar,Animal Bite - Dog Bite,13,0,11-01-2024,12-01-2024,Under Surveillance
MP/GUN/2024/02/44,Madhya Pradesh,Guna,Measles,12,0,06-01-2024,12-01-2024,Under Surveillance
MH/KOP/2024/02/45,Maharashtra,Kolhapur,Hepatitis A,42,0,12-01-2024,12-01-2024,Under Surveillance
OR/DEO/2024/02/46,Odisha,Deogarh,Food Poisoning,250,0,08-01-2024,08-01-2024,Under Control
TN/TNJ/2024/02/47,Tamil Nadu,Thanjavur,Cholera,41,0,12-01-2024,13-01-2024,Under Control
TN/VIR/2024/02/48,Tamil Nadu,Virudhunagar,Mumps,15,0,12-01-2024,12-01-2024,Under Surveillance
UP/JLA/2024/02/49,Uttar Pradesh,Jalaun,Measles,5,0,08-01-2024,10-01-2024,Under Surveillance
WB/BWN/2024/02/50,West Bengal,Purba Bardhaman,Food Poisoning,164,0,06-01-2024,09-01-2024,Under Control
WB/BWN/2024/02/51,West Bengal,Purba Bardhaman,Food Poisoning,72,0,03-01-2024,,Under Control
Andhra Pradesh,Bapatla,Typhoid,38,0,18-07-2024,22-07-2024
Andhra Pradesh,Tirupati,Cholera,13,0,12-07-2024,24-07-2024
Assam,Bongaigaon,Japanese Encephalitis,1,1,24-07-2024,25-07-2024
Assam,Darrang,Japanese Encephalitis,1,1,11-07-2024,24-07-2024
Assam,Darrang,Japanese Encephalitis,1,1,17-07-2024,22-07-2024
Assam,Goalpara,Japanese Encephalitis,1,1,19-07-2024,24-07-2024
Assam,Goalpara,Japanese Encephalitis,1,1,22-07-2024,23-07-2024
Assam,Karbi Anglong,Acute Encephalitic Syndrome,1,1,24-07-2024,24-07-2024
Assam,Karbi Anglong,Acute Encephalitic Syndrome,1,1,22-07-2024,22-07-2024
Assam,Kokrajhar,Japanese Encephalitis,1,1,26-07-2024,28-07-2024
Assam,Kokrajhar,Leptospirosis,1,1,25-07-2024,26-07-2024
Bihar,Bhojpur,Measles,10,0,26-07-2024,26-07-2024
Bihar,Gaya,Acute Diarrheal Disease,56,2,21-07-2024,22-07-2024
Bihar,Gopalganj,Measles,1,0,25-07-2024,27-07-2024
Bihar,Jehanabad,Acute Diarrheal Disease,25,1,21-07-2024,22-07-2024
Bihar,Purbi Champaran,Measles,2,0,22-07-2024,24-07-2024
Chhattisgarh,Baloda Bazar,Acute Gastroenteritis,59,0,23-07-2024,24-07-2024
Chhattisgarh,Bemetara,Acute Diarrheal Disease,60,0,22-07-2024,24-07-2024
Chhattisgarh,Bijapur,Rubella,2,0,25-07-2024,25-07-2024
Chhattisgarh,Durg,Acute Diarrheal Disease,130,0,21-07-2024,26-07-2024
Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,18,0,24-07-2024,25-07-2024
Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,26,0,20-07-2024,24-07-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,21,0,23-07-2024,24-07-2024
Chhattisgarh,Korba,Malaria,23,0,19-07-2024,25-07-2024
Chhattisgarh,Korba,Malaria,67,0,19-07-2024,25-07-2024
Chhattisgarh,Korba,Malaria,42,0,19-07-2024,25-07-2024
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,84,0,22-07-2024,25-07-2024
Chhattisgarh,Raipur,Acute Diarrheal Disease,27,0,23-07-2024,23-07-2024
Chhattisgarh,Sarangarh Bilaigarh,Acute Diarrheal Disease,14,0,25-07-2024,26-07-2024
Chhattisgarh,Surguja,Malaria,33,0,23-07-2024,24-07-2024
Gujarat,Tapi,Acute Diarrheal Disease,8,0,25-07-2024,25-07-2024
Gujarat,Valsad,Acute Diarrheal Disease,7,0,27-07-2024,27-07-2024
Himachal Pradesh,Sirmaur,Dengue,156,0,08-07-2024,27-07-2024
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,22,0,25-07-2024,27-07-2024
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,20,0,26-07-2024,26-07-2024
Jammu and Kashmir,Bandipora,Chickenpox,59,0,23-07-2024,23-07-2024
Jammu and Kashmir,Ganderbal,Acute Diarrheal Disease,19,0,20-07-2024,22-07-2024
Jammu and Kashmir,Kulgam,Acute Diarrheal Disease,23,0,21-07-2024,22-07-2024
Jammu and Kashmir,Pulwama,Food Poisoning,208,0,25-07-2024,25-07-2024
Jharkhand,Deoghar,Food Poisoning,11,0,24-07-2024,24-07-2024
Jharkhand,Dumka,Acute Diarrheal Disease,9,0,23-07-2024,24-07-2024
Jharkhand,East Singhbum,Malaria,49,0,26-07-2024,26-07-2024
Jharkhand,Garhwa,Acute Diarrheal Disease,72,0,24-07-2024,24-07-2024
Jharkhand,Sahebganj,Acute Diarrheal Disease,31,0,14-07-2024,24-07-2024
Jharkhand,West Singhbhum,Food Poisoning,8,0,25-07-2024,26-07-2024
Karnataka,Yadgir,Acute Diarrheal Disease,27,0,25-07-2024,26-07-2024
Kerala,Ernakulam,ARI-Influenza Like Illness,19,0,23-07-2024,24-07-2024
Kerala,Idukki,Mumps,15,0,19-07-2024,25-07-2024
Kerala,Kozhikode,Hepatitis A,29,0,23-07-2024,24-07-2024
Kerala,Malappuram,Hepatitis A,59,0,26-07-2024,26-07-2024
Kerala,Malappuram,Nipah Virus,1,1,20-07-2024,22-07-2024
Kerala,Wayanad,Acute Gastroenteritis,223,0,27-07-2024,28-07-2024
Kerala,Wayanad,Mumps,23,0,25-07-2024,26-07-2024
Kerala,Wayanad,Mumps,117,0,25-07-2024,26-07-2024
Andhra Pradesh,Vizianagaram,Acute Diarrheal Disease,21,0,01-08-2024,03-08-2024
Bihar,Gaya,Acute Diarrheal Disease,16,0,27-07-2024,04-08-2024
Bihar,Gaya,Acute Diarrheal Disease,23,0,29-07-2024,31-07-2024
Bihar,Jehanabad,Acute Diarrheal Disease,9,0,01-08-2024,03-08-2024
Bihar,Jehanabad,Acute Diarrheal Disease,27,0,02-08-2024,03-08-2024
Bihar,Lakhisarai,Acute Diarrheal Disease,34,0,02-08-2024,02-08-2024
Bihar,Samastipur,Acute Diarrheal Disease,12,2,27-07-2024,30-07-2024
Chhattisgarh,Balod,Acute Diarrheal Disease,17,0,31-07-2024,01-08-2024
Chhattisgarh,Balod,Acute Diarrheal Disease,61,0,27-07-2024,29-07-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,44,0,01-08-2024,01-08-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,18,0,02-08-2024,04-08-2024
Chhattisgarh,Durg,Acute Diarrheal Disease,178,0,31-07-2024,31-07-2024
Chhattisgarh,Jashpur,Malaria,11,0,30-07-2024,31-07-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,17,0,01-08-2024,02-08-2024
Chhattisgarh,Khairgarh Chhuikhadan Gandai,Acute Diarrheal Disease,127,0,28-07-2024,29-07-2024
Chhattisgarh,Mohla Manpur Ambagarh Chouki,Acute Diarrheal Disease,96,0,26-07-2024,29-07-2024
Chhattisgarh,Raipur,Acute Diarrheal Disease,50,0,29-07-2024,30-07-2024
Gujarat,Anand,Cholera,375,0,04-08-2024,04-08-2024
Gujarat,Kheda,Acute Diarrheal Disease,93,0,27-07-2024,30-07-2024
Jammu and Kashmir,Samba,Typhoid,7,0,30-07-2024,30-07-2024
Jammu and Kashmir,Udhampur,Cholera,173,2,02-08-2024,03-08-2024
Jharkhand,Hazaribagh,Acute Diarrheal Disease,45,0,30-07-2024,31-07-2024
Jharkhand,West Singhbhum,Malaria,16,0,30-07-2024,30-07-2024
Karnataka,Chikkamagaluru,Acute Diarrheal Disease,45,0,30-07-2024,31-07-2024
Karnataka,Chikkamagaluru,Acute Diarrheal Disease,64,0,29-07-2024,30-07-2024
Karnataka,Raichur,Acute Diarrheal Disease,52,0,30-07-2024,30-07-2024
Kerala,Kannur,Hepatitis A,24,0,29-07-2024,31-07-2024
Kerala,Kollam,Mumps,10,0,30-07-2024,30-07-2024
Madhya Pradesh,Alirajpur,Dengue,22,0,01-08-2024,02-08-2024
Madhya Pradesh,Ashoknagar,Acute Diarrheal Disease,25,0,01-08-2024,01-08-2024
Madhya Pradesh,Bhopal,Acute Diarrheal Disease,20,0,02-08-2024,02-08-2024
Madhya Pradesh,Chhatarpur,Acute Diarrheal Disease,4,2,29-07-2024,29-07-2024
Madhya Pradesh,Harda,Acute Diarrheal Disease,23,1,31-07-2024,01-08-2024
Madhya Pradesh,Harda,Acute Diarrheal Disease,26,0,29-07-2024,29-07-2024
Madhya Pradesh,Hoshangabad,Acute Diarrheal Disease,93,0,26-07-2024,29-07-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,19,0,31-07-2024,01-08-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,25,0,01-08-2024,01-08-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,28,0,31-07-2024,31-07-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,38,0,29-07-2024,29-07-2024
Madhya Pradesh,Shajapur,Acute Diarrheal Disease,23,0,03-08-2024,03-08-2024
Madhya Pradesh,Singrauli,Acute Diarrheal Disease,74,0,30-07-2024,01-08-2024
Madhya Pradesh,Singrauli,Acute Diarrheal Disease,23,0,29-07-2024,01-08-2024
Madhya Pradesh,Singrauli,Leptospirosis,5,0,26-07-2024,30-07-2024
Maharashtra,Amravati,Acute Diarrheal Disease,25,0,27-07-2024,29-07-2024
Maharashtra,Chandrapur,Malaria,2,1,30-07-2024,01-08-2024
Maharashtra,Dhule,Dengue,15,0,29-07-2024,29-07-2024
Maharashtra,Dhule,Dengue,22,0,29-07-2024,29-07-2024
Maharashtra,Nagpur,Dengue,17,0,29-07-2024,30-07-2024
Maharashtra,Parbhani,Chikungunya,23,0,30-07-2024,31-07-2024
Maharashtra,Pune,Zika Virus,1,0,30-07-2024,02-08-2024
Maharashtra,Satara,Acute Diarrheal Disease,16,1,28-07-2024,29-07-2024
Maharashtra,Solapur,Zika Virus,1,0,27-07-2024,29-07-2024
Maharashtra,Washim,Chikungunya,19,0,30-07-2024,30-07-2024
Mizoram,Aizawl,Mumps,40,0,31-07-2024,01-08-2024
Odisha,Balangir,Acute Diarrheal Disease,13,0,03-08-2024,03-08-2024
Odisha,Balangir,Acute Diarrheal Disease,14,0,31-07-2024,31-07-2024
Odisha,Ganjam,Acute Diarrheal Disease,17,0,30-07-2024,02-08-2024
Odisha,Ganjam,Cholera,33,0,28-07-2024,01-08-2024
Odisha,Kandhamal,Acute Diarrheal Disease,16,0,31-07-2024,02-08-2024
Odisha,Koraput,Acute Diarrheal Disease,20,0,02-08-2024,02-08-2024
Odisha,Koraput,Shigellosis,23,2,27-07-2024,29-07-2024
Punjab,Kapurthala,Cholera,213,1,26-07-2024,31-07-2024
Rajasthan,Baran,Acute Diarrheal Disease,152,0,29-07-2024,29-07-2024
Tamil Nadu,Salem,Mumps,11,0,31-07-2024,01-08-2024
Tamil Nadu,Tiruchirappalli,Mumps,21,0,02-08-2024,02-08-2024
Tamil Nadu,Tiruchirappalli,Hepatitis A,16,0,29-07-2024,30-07-2024
Tamil Nadu,Tiruvannamalai,Mumps,9,0,02-08-2024,02-08-2024
Tamil Nadu,Tuticorin,Mumps,16,0,01-08-2024,03-08-2024
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,17,0,27-07-2024,30-07-2024
Uttar Pradesh,Fatehpur,Acute Diarrheal Disease,30,0,30-07-2024,31-07-2024
Uttar Pradesh,Kaushambi,Acute Diarrheal Disease,12,0,28-07-2024,30-07-2024
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,18,0,31-07-2024,01-08-2024
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,20,1,27-07-2024,29-07-2024
Uttar Pradesh,Meerut,Acute Diarrheal Disease,18,0,28-07-2024,03-08-2024
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,32,0,28-07-2024,29-07-2024
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,15,1,02-08-2024,03-08-2024
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,22,0,27-07-2024,29-07-2024
Andhra Pradesh,Annamayya,Food Poisoning,53,0,06-08-2024,08-08-2024
Andhra Pradesh,Annamayya,Acute Diarrheal Disease,12,0,07-08-2024,08-08-2024
Andhra Pradesh,Alluri Sitharama Raju,Acute Diarrheal Disease,13,0,08-08-2024,08-08-2024
Assam,Dhemaji,Measles,13,0,05-08-2024,08-08-2024
Bihar,Arwal,Measles,5,0,07-08-2024,08-08-2024
Chhattisgarh,Kondagaon,Food Poisoning,15,0,06-08-2024,08-08-2024
Gujarat,Kheda,Chickenpox,6,0,02-08-2024,08-08-2024
Gujarat,Dahod,Chickenpox,9,0,06-08-2024,08-08-2024
Haryana,Ambala,Food Poisoning,25,0,06-08-2024,08-08-2024
Jharkhand,Ramgarh,Measles,6,0,06-08-2024,07-08-2024
Kerala,Pathanamthitta,Dengue,17,0,06-08-2024,08-08-2024
Madhya Pradesh,Dhar,Measles,11,0,04-08-2024,07-08-2024
Maharashtra,Gondia,Measles,10,0,04-08-2024,06-08-2024
Odisha,Kalahandi,Chickenpox,7,0,05-08-2024,08-08-2024
Odisha,Ganjam,Measles,7,0,06-08-2024,08-08-2024
Rajasthan,Udaipur,Food Poisoning,31,0,06-08-2024,08-08-2024
Tamil Nadu,Theni,Dengue,14,0,05-08-2024,07-08-2024
Tamil Nadu,Tirunelveli,Dengue,17,0,04-08-2024,07-08-2024
Tamil Nadu,Tiruvannamalai,Dengue,8,0,05-08-2024,07-08-2024
Telangana,Medchal-Malkajgiri,Food Poisoning,33,0,06-08-2024,08-08-2024
Uttarakhand,Haridwar,Measles,5,0,06-08-2024,08-08-2024
Uttarakhand,Udham Singh Nagar,Measles,4,0,06-08-2024,08-08-2024
West Bengal,Murshidabad,Measles,7,0,05-08-2024,07-08-2024
Assam,Barpeta,Fever,20,0,12-08-2024,12-08-2024
Assam,Darrang,Food Poisoning,24,0,12-08-2024,14-08-2024
Assam,Dhemaji,Food Poisoning,93,1,15-08-2024,16-08-2024
Assam,Kamrup,Food Poisoning,93,0,05-08-2024,12-08-2024
Assam,Majuli,Acute Diarrheal Disease,27,0,11-08-2024,13-08-2024
Bihar,Jamui,Acute Diarrheal Disease,18,0,12-08-2024,13-08-2024
Bihar,Madhepura,Typhoid,29,0,14-08-2024,14-08-2024
Chhattisgarh,Balod,Acute Diarrheal Disease,37,0,16-08-2024,17-08-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,47,0,11-08-2024,12-08-2024
Chhattisgarh,Bemetara,Acute Diarrheal Disease,51,0,16-08-2024,16-08-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,33,0,09-08-2024,12-08-2024
Chhattisgarh,Durg,Acute Diarrheal Disease,34,0,12-08-2024,13-08-2024
Chhattisgarh,Gariyaband,Acute Diarrheal Disease,36,0,13-08-2024,14-08-2024
Chhattisgarh,Surguja,Acute Diarrheal Disease,19,0,13-08-2024,14-08-2024
Chhattisgarh,Surguja,Acute Diarrheal Disease,35,0,12-08-2024,13-08-2024
Gujarat,Dohad,Acute Diarrheal Disease,10,1,17-08-2024,17-08-2024
Jammu and Kashmir,Bandipora,Cholera,27,0,17-08-2024,17-08-2024
Jammu and Kashmir,Baramulla,Chickenpox,12,0,16-08-2024,16-08-2024
Jammu and Kashmir,Baramulla,Hepatitis A,19,0,13-08-2024,14-08-2024
Jammu and Kashmir,Kupwara,Acute Diarrheal Disease,37,0,14-08-2024,14-08-2024
Jammu and Kashmir,Ramban,Food Poisoning,134,1,16-08-2024,17-08-2024
Jammu and Kashmir,Reasi,Cholera,41,0,13-08-2024,14-08-2024
Jammu and Kashmir,Samba,Human Rabies,1,1,14-08-2024,16-08-2024
Jammu and Kashmir,Udhampur,Cholera,23,0,16-08-2024,16-08-2024
Jharkhand,Garhwa,Acute Diarrheal Disease,43,0,14-08-2024,16-08-2024
Jharkhand,Giridih,Acute Diarrheal Disease,22,2,16-08-2024,16-08-2024
